time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-03-24T16:27:30.880Z,38.8046684,-122.8206635,1.6,0.81,md,17,78,0.007864,0.05,nc,nc73155685,2019-03-24T16:58:03.093Z,"6km WNW of The Geysers, CA",earthquake,0.3,0.47,0.03,3,automatic,nc,nc
2019-03-24T16:21:45.527Z,61.4855,-149.9646,31.9,1.6,ml,,,,0.74,ak,ak0193tj9c7r,2019-03-24T16:39:37.661Z,"4km S of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-03-24T16:21:15.400Z,-3.0695,38.1883,9.54,4.8,mb,,84,0.72,0.54,us,us1000jl0h,2019-03-25T05:41:26.474Z,"41km NNW of Wundanyi, Kenya",earthquake,7,5.2,0.103,29,reviewed,us,us
2019-03-24T16:19:47.560Z,12.3805,-86.8278,145.78,4.5,mb,,171,0.173,0.45,us,us1000jl0d,2019-03-24T17:07:15.335Z,"8km SE of Leon, Nicaragua",earthquake,6.8,6.6,0.065,70,reviewed,us,us
2019-03-24T16:16:08.580Z,38.082,-0.541,10,3.3,mb_lg,,113,0.614,1.02,us,us1000jl37,2019-03-25T00:57:32.535Z,"10km E of Guardamar del Segura, Spain",earthquake,3.2,2,0.18,8,reviewed,us,us
2019-03-24T16:06:57.180Z,18.1496,-66.7233,21,1.71,md,4,122,0.1624,0.06,pr,pr2019083014,2019-03-24T21:20:24.304Z,"8km E of Adjuntas, Puerto Rico",earthquake,0.51,1.2,0.1,4,reviewed,pr,pr
2019-03-24T15:43:16.070Z,34.2441673,-118.6471634,12.67,1.98,ml,19,141,0.1028,0.32,ci,ci38284151,2019-03-24T15:45:20.894Z,"4km WSW of Chatsworth, CA",earthquake,1.14,1.57,0.382,12,automatic,ci,ci
2019-03-24T15:35:02.561Z,58.4609,-136.9607,0,2.4,ml,,,,1.68,ak,ak0193tiqtbk,2019-03-24T15:43:37.241Z,"71km W of Gustavus, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-03-24T15:31:31.978Z,61.3784,-149.92,33.6,1.1,ml,,,,0.45,ak,ak0193tiq0q5,2019-03-24T15:35:25.440Z,"16km S of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-03-24T15:26:11.802Z,60.9709,-147.0069,21.7,1.7,ml,,,,0.64,ak,ak0193tiowl6,2019-03-24T15:31:14.336Z,"39km WSW of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
